target_id,speaker,sex,dob,city_born,lexset,word,start,end,pre_seg,fol_seg,F1,F2,F3
3058,GraceG,F,1994,Manchester,KIT,didn't,1017.373,1017.413,D,D,449.7,2277,3842.8
3059,GraceG,F,1994,Manchester,PRICE,i,1018.533,1018.633,SP,D,890.8,1758.1,2577
3060,GraceG,F,1994,Manchester,KIT,didn't,1018.683,1018.713,D,D,447.4,2080.5,2786.6
3061,GraceG,F,1994,Manchester,LOT,holiday,1019.103,1019.163,HH,L,776.1,1428.9,2522.7
3062,GraceG,F,1994,Manchester,KIT,year,1020.973,1021.062,Y,R,550.5,2236.8,3193.7
3063,GraceG,F,1994,Manchester,PRICE,my,1022.223,1022.283,M,F,714.6,1582.6,2568.3
3064,GraceG,F,1994,Manchester,DRESS,went,1022.683,1022.723,W,N,645.6,1589.6,2788.8
3065,GraceG,F,1994,Manchester,PRICE,nine,1025.432,1025.552,N,N,936.1,1735.8,2925.3
3066,GraceG,F,1994,Manchester,NORTH,all,1026.823,1026.923,D,L,860.4,1520,2320.5
3067,GraceG,F,1994,Manchester,DRESS,levels,1027.383,1027.493,L,V,531,1745.3,3202.6
3068,GraceG,F,1994,Manchester,FLEECE,we,1028.163,1028.193,W,W,437.8,1554,3372.5
3069,GraceG,F,1994,Manchester,GOOSE,uni,1028.703,1028.732,Y,N,424.6,2427,4309.5
3070,GraceG,F,1994,Manchester,NORTH,all,1029.658,1029.758,IY1,L,780.2,1526,2366.3
3071,GraceG,F,1994,Manchester,FACE,holiday,1030.297,1030.368,D,T,486,2066.5,3082.2
3072,GraceG,F,1994,Manchester,TRAP,and,1031.207,1031.418,IH0,N,730.4,1807.9,2818.4
3073,GraceG,F,1994,Manchester,TRAP,that's,1032.518,1032.587,DH,T,544.5,1770.1,2908.5
3074,GraceG,F,1994,Manchester,STRUT,one,1033.038,1033.118,W,N,701.2,1539,2995.3
3075,GraceG,F,1994,Manchester,PRICE,my,1033.308,1033.378,M,F,546.3,1511.1,2724.5
3076,GraceG,F,1994,Manchester,DRESS,definitely,1034.088,1034.117,D,F,602.1,1650.4,2960.9
3077,GraceG,F,1994,Manchester,TRAP,having,1067.112,1067.172,HH,V,842.6,1514,2827.4
3078,GraceG,F,1994,Manchester,PRICE,nice,1067.483,1067.693,N,S,895.8,1735.4,3208
3079,GraceG,F,1994,Manchester,PRICE,like,1067.842,1068.022,L,K,830.6,1657.3,2783.1
3080,GraceG,F,1994,Manchester,STRUT,us,1073.352,1073.442,UW1,S,499.3,1452.5,2866.6
3081,GraceG,F,1994,Manchester,FOOT,fully,1074.482,1074.512,F,L,512.1,1043.5,3054
3082,GraceG,F,1994,Manchester,GOAT,clothed,1074.833,1075.003,L,DH,616,1241,2928.1
3083,GraceG,F,1994,Manchester,TRAP,and,1075.522,1075.613,SP,N,646.7,1783.8,2633.2
3084,GraceG,F,1994,Manchester,FLEECE,we,1075.693,1075.753,W,W,431.3,2200.1,4138.5
3085,GraceG,F,1994,Manchester,PRICE,my,1076.682,1076.813,M,W,520.5,1396.8,1942.8
3086,GraceG,F,1994,Manchester,KIT,think,1077.412,1077.462,TH,NG,409.2,1631.7,2218.5
